Date,Code,weigh,temperature,Humidity(out),PH,Humidity,%Humidity,sum,result
28,A5,0,25,75,7.5,5.5,55,0,fail
29,A5,0,25,75,7.5,5.8,58,0,fail
1,A6,0,25,75,7,9.2,92,0,fail
2,A6,0,25,75,7,9.5,95,0,fail
3,A6,0,25,75,7,9.2,92,0,fail
4,A6,0,25,75,7,9.5,95,0,fail
5,A6,110,25,75,7,9,90,110,very good
6,A6,0,25,75,7,9.2,92,0,fail
7,A6,0,25,75,7,8.8,88,0,fail
8,A6,0,25,75,7,8.2,82,0,fail
9,A6,0,25,75,7,8.2,82,0,fail
10,A6,0,25,75,7,8,80,0,fail
11,A6,0,25,75,7.2,7.8,78,0,fail
12,A6,0,25,75,7,7.5,75,0,fail
13,A6,0,25,75,7,7.2,72,0,fail
14,A6,0,25,75,7,7.5,75,0,fail
15,A6,0,25,75,7,8,80,0,fail
16,A6,0,25,75,7,8.2,82,0,fail
17,A6,0,25,75,7,8,80,0,fail
18,A6,0,25,75,7,7.8,78,0,fail
19,A6,0,25,75,7,8,80,0,fail
20,A6,0,25,75,7,8.8,88,0,fail
21,A6,0,25,75,7,9,90,0,fail
22,A6,138,25,75,7.2,10,100,248,over
23,A6,0,25,75,7.2,7.2,72,0,fail
24,A6,0,25,75,7.2,7.5,75,0,fail
25,A6,0,25,75,7.2,7.2,72,0,fail
26,A6,0,25,75,7.2,6.8,68,0,fail
27,A6,0,25,75,7.2,5.8,58,0,fail
28,A6,0,25,75,7.2,5.5,55,0,fail
29,A6,0,25,75,7.2,6,60,0,fail
1,A7,0,25,75,7,8,80,0,fail
2,A7,0,25,75,7,7.8,78,0,fail
3,A7,0,25,75,7,7,70,0,fail
4,A7,60,25,75,7,6.3,63,60,normal
5,A7,0,25,75,7,7,70,0,fail
6,A7,0,25,75,7.1,7.5,75,0,fail
7,A7,0,25,75,7.1,8.5,85,0,fail
8,A7,0,25,75,7.1,9,90,0,fail
9,A7,0,25,75,7.1,8.8,88,0,fail
10,A7,0,25,75,7.1,8,80,0,fail
11,A7,0,25,75,7.1,7.5,75,0,fail
12,A7,0,25,75,7.1,7,70,0,fail
13,A7,0,25,75,7.1,6.2,62,0,fail
14,A7,0,25,75,7.1,5.5,55,0,fail
15,A7,0,25,75,7.1,6,60,0,fail
16,A7,0,25,75,7.1,6.5,65,0,fail
17,A7,0,25,75,7.1,6.2,62,0,fail
18,A7,0,25,75,7.1,5.8,58,0,fail
19,A7,0,25,75,7.1,5.4,54,0,fail
20,A7,0,25,75,7,5.2,52,0,fail
21,A7,90,25,75,7.2,9.5,95,150,good
22,A7,0,25,75,7,6.2,62,0,fail
23,A7,0,25,75,7,6.5,65,0,fail
24,A7,0,25,75,7,7,70,0,fail
25,A7,0,25,75,7,7.5,75,0,fail
26,A7,0,25,75,7,7.5,75,0,fail
27,A7,0,25,75,7,7.8,78,0,fail
28,A7,0,25,75,7,7.2,72,0,fail
29,A7,0,25,75,7,8,80,0,fail
1,A8,0,25,75,7.2,9.2,92,0,fail
2,A8,0,25,75,7.2,9.5,95,0,fail
3,A8,0,25,75,7.2,9.2,92,0,fail
4,A8,90,25,75,7.2,9.5,95,90,good
5,A8,0,25,75,7.2,9,90,0,fail
6,A8,0,25,75,7.2,9.2,92,0,fail
7,A8,0,25,75,7.2,8.8,88,0,fail
8,A8,0,25,75,7.2,8.8,88,0,fail
9,A8,0,25,75,7,8.5,85,0,fail
10,A8,0,25,75,7,8.2,82,0,fail
11,A8,0,25,75,7,8,80,0,fail
12,A8,0,25,75,7,7.5,75,0,fail
13,A8,0,25,75,7,7.2,72,0,fail
14,A8,0,25,75,7,7.5,75,0,fail
15,A8,0,25,75,7,8,80,0,fail
16,A8,0,25,75,7,6,60,0,fail
17,A8,0,25,75,7,6.5,65,0,fail
18,A8,0,25,75,7,7,70,0,fail
19,A8,0,25,75,7,7.2,72,0,fail
20,A8,0,25,75,7,7.2,72,0,fail
21,A8,0,25,75,7,5.8,58,0,fail
22,A8,0,25,75,7.2,6,60,0,fail
23,A8,0,25,75,7.2,6.2,62,0,fail
24,A8,0,25,75,7.2,5.8,58,0,fail
25,A8,0,25,75,7.2,5.5,55,0,fail
26,A8,0,25,75,7.2,6,60,0,fail
27,A8,50,25,75,7.2,5.8,58,140,bad
28,A8,0,25,75,7.2,5,50,0,fail
29,A8,0,25,75,7.2,5.2,52,0,fail
1,A9,0,25,75,7,9.2,92,0,fail
2,A9,0,25,75,7,9.5,95,0,fail
3,A9,0,25,75,7,9.2,92,0,fail
4,A9,0,25,75,7,9.5,95,0,fail
5,A9,100,25,75,7,8.3,83,100,very good
6,A9,0,25,75,7.2,9.2,92,0,fail
7,A9,0,25,75,7.2,8.8,88,0,fail
8,A9,0,25,75,7.2,8.8,88,0,fail
9,A9,0,25,75,7.1,8.5,85,0,fail
10,A9,0,25,75,7.1,8.2,82,0,fail
11,A9,0,25,75,7.1,8,80,0,fail
12,A9,0,25,75,7.1,7.5,75,0,fail
13,A9,0,25,75,7.1,7.2,72,0,fail
14,A9,0,25,75,7.1,7.5,75,0,fail
15,A9,0,25,75,7.1,8,80,0,fail
16,A9,0,25,75,7.1,6,60,0,fail
17,A9,0,25,75,7.1,6.5,65,0,fail
18,A9,0,25,75,7.1,7,70,0,fail
19,A9,0,25,75,7.1,7.2,72,0,fail
20,A9,0,25,75,7.2,7.2,72,0,fail
21,A9,0,25,75,7.2,5.8,58,0,fail
22,A9,0,25,75,7.2,6,60,0,fail
23,A9,0,25,75,7.2,6.2,62,0,fail
24,A9,0,25,75,7.2,5.8,58,0,fail
25,A9,0,25,75,7.2,5.5,55,0,fail
26,A9,0,25,75,7.2,6,60,0,fail
27,A9,0,25,75,7.2,7.8,78,0,fail
28,A9,0,25,75,7.2,8.8,88,0,fail
29,A9,145,25,75,7.2,10,100,245,over
1,A10,0,25,75,7,8,80,0,fail
2,A10,0,25,75,7,7.8,78,0,fail
3,A10,0,25,75,7,7,70,0,fail
4,A10,0,25,75,7,6.3,63,0,fail
5,A10,100,25,75,7.1,8.3,83,100,very good
6,A10,0,25,75,7.1,8.5,85,0,fail
7,A10,0,25,75,7.1,9,90,0,fail
8,A10,0,25,75,7.1,8.2,82,0,fail
9,A10,0,25,75,7.1,7.8,78,0,fail
10,A10,0,25,75,7.1,8,80,0,fail
11,A10,0,25,75,7.1,8.5,85,0,fail
12,A10,0,25,75,7.1,8.8,88,0,fail
13,A10,0,25,75,7.1,8.8,88,0,fail
14,A10,0,25,75,7.1,8.2,82,0,fail
15,A10,0,25,75,7.1,7.5,75,0,fail
16,A10,0,25,75,7.1,8.5,85,0,fail
17,A10,0,25,75,7.1,7,70,0,fail
18,A10,0,25,75,7.1,7.8,78,0,fail
19,A10,0,25,75,7.1,8.2,82,0,fail
20,A10,135,25,75,7,9.8,98,235,over
21,A10,0,25,75,7,8.8,88,0,fail
22,A10,0,25,75,7,8.5,85,0,fail
23,A10,0,25,75,7,7,70,0,fail
24,A10,0,25,75,7,7.8,78,0,fail
25,A10,0,25,75,7,7.5,75,0,fail
26,A10,0,25,75,7,7.5,75,0,fail
27,A10,0,25,75,7,7,70,0,fail
28,A10,0,25,75,7,7.2,72,0,fail
29,A10,0,25,75,7,7.2,72,0,fail
1,A11,0,25,75,6.9,9,90,0,fail
2,A11,0,25,75,6.9,8.8,88,0,fail
3,A11,0,25,75,7,8.5,85,0,fail
4,A11,0,25,75,7,9,90,0,fail
5,A11,0,25,75,7,9,90,0,fail
6,A11,0,25,75,7,8.2,82,0,fail
7,A11,0,25,75,7,7.5,75,0,fail
8,A11,90,25,75,7.2,8,80,90,good
9,A11,0,25,75,7,7.8,78,0,fail
10,A11,0,25,75,7,8,80,0,fail
11,A11,0,25,75,7.2,8.5,85,0,fail
12,A11,0,25,75,7.2,8.8,88,0,fail
13,A11,0,25,75,7.2,8.8,88,0,fail
14,A11,0,25,75,7.2,8.2,82,0,fail
15,A11,0,25,75,7.2,7.5,75,0,fail
16,A11,0,25,75,7.2,8.5,85,0,fail
17,A11,0,25,75,7.2,7,70,0,fail
18,A11,0,25,75,7.2,7.8,78,0,fail
19,A11,0,25,75,7.2,8.2,82,0,fail
20,A11,0,25,75,7.1,9,90,0,fail
21,A11,0,25,75,7.1,8.8,88,0,fail
22,A11,0,25,75,7.1,9.2,92,0,fail
23,A11,0,25,75,7.1,9,90,0,fail
24,A11,0,25,75,7.1,8.8,88,0,fail
25,A11,0,25,75,7.1,8.5,85,0,fail
26,A11,0,25,75,7.1,7,70,0,fail
27,A11,70,25,75,7,7,70,160,normal
28,A11,0,25,75,7,6.5,65,0,fail
29,A11,0,25,75,7,6,60,0,fail
1,A12,0,25,75,7,9,90,0,fail
2,A12,0,25,75,7,8.8,88,0,fail
3,A12,0,25,75,7,8.5,85,0,fail
4,A12,80,25,75,7,7.8,78,80,good
5,A12,0,25,75,7,9,90,0,fail
6,A12,0,25,75,7,8.2,82,0,fail
7,A12,0,25,75,7,7.5,75,0,fail
8,A12,0,25,75,7,8.2,82,0,fail
9,A12,0,25,75,7,7.8,78,0,fail
10,A12,0,25,75,7,6,60,0,fail
11,A12,0,25,75,7.2,5.8,58,0,fail
12,A12,0,25,75,7.2,7.5,75,0,fail
13,A12,0,25,75,7.2,8,80,0,fail
14,A12,0,25,75,7.2,8.2,82,0,fail
15,A12,0,25,75,7.2,7.5,75,0,fail
16,A12,0,25,75,7.2,8.5,85,0,fail
17,A12,0,25,75,7.2,7,70,0,fail
18,A12,0,25,75,7.2,7.8,78,0,fail
19,A12,0,25,75,7.2,8.2,82,0,fail
20,A12,0,25,75,7.4,7.2,72,0,fail
21,A12,0,25,75,7.4,7,70,0,fail
22,A12,0,25,75,7.4,6.8,68,0,fail
23,A12,60,25,75,7.4,6.2,62,140,normal
24,A12,0,25,75,7.4,5.5,55,0,fail
25,A12,0,25,75,7.4,6,60,0,fail
26,A12,0,25,75,7.4,7.8,78,0,fail
27,A12,0,25,75,7.2,9,90,0,fail
28,A12,0,25,75,7.2,8.8,88,0,fail
29,A12,0,25,75,7.2,9.2,92,0,fail
1,A13,0,25,75,7,9,90,0,fail
2,A13,0,25,75,7,8.5,85,0,fail
3,A13,0,25,75,7,7,70,0,fail
4,A13,0,25,75,7,8.2,82,0,fail
5,A13,120,25,75,7,9.5,95,120,very good
6,A13,0,25,75,7,8,80,0,fail
7,A13,0,25,75,7,8.8,88,0,fail
8,A13,0,25,75,7,9,90,0,fail
9,A13,0,25,75,7,6,60,0,fail
10,A13,0,25,75,7,6.5,65,0,fail
11,A13,0,25,75,7,5.8,58,0,fail
12,A13,0,25,75,7,5.5,55,0,fail
13,A13,0,25,75,7,4,40,0,fail
14,A13,0,25,75,7.2,4.2,42,0,fail
15,A13,0,25,75,7.2,4.8,48,0,fail
16,A13,0,25,75,7.2,5.8,58,0,fail
17,A13,0,25,75,7.2,6,60,0,fail
18,A13,0,25,75,7.2,6.5,65,0,fail
19,A13,0,25,75,7.2,7,70,0,fail
20,A13,0,25,75,7.2,7.2,72,0,fail
21,A13,0,25,75,7.2,8,80,0,fail
22,A13,0,25,75,7.2,8.2,82,0,fail
23,A13,0,25,75,7.2,8.5,85,0,fail
24,A13,0,25,75,7.2,9,90,0,fail
25,A13,50,25,75,7.2,5.5,55,170,bad
26,A13,0,25,75,7.2,7.8,78,0,fail
27,A13,0,25,75,7.2,8.8,88,0,fail
28,A13,0,25,75,7.2,9,90,0,fail
29,A13,0,25,75,7.2,9.2,92,0,fail
1,A14,0,25,75,7,9,90,0,fail
2,A14,0,25,75,7,8.5,85,0,fail
3,A14,140,25,75,7,9.8,98,140,over
4,A14,0,25,75,7,8.2,82,0,fail
5,A14,0,25,75,7,8.8,88,0,fail
6,A14,0,25,75,7,8,80,0,fail
7,A14,0,25,75,6.8,7.5,75,0,fail
8,A14,0,25,75,6.8,8.2,82,0,fail
9,A14,0,25,75,6.8,8.5,85,0,fail
10,A14,0,25,75,6.8,6.5,65,0,fail
11,A14,0,25,75,6.8,5.8,58,0,fail
12,A14,0,25,75,6.8,5.5,55,0,fail
13,A14,0,25,75,6.8,4,40,0,fail
14,A14,0,25,75,6.8,4.2,42,0,fail
15,A14,0,25,75,6.8,4.8,48,0,fail
16,A14,0,25,75,6.8,5,50,0,fail
17,A14,0,25,75,6.8,5.2,52,0,fail
18,A14,0,25,75,7,6.5,65,0,fail
19,A14,0,25,75,7,7,70,0,fail
20,A14,0,25,75,7,7.2,72,0,fail
21,A14,0,25,75,7,8,80,0,fail
22,A14,0,25,75,7,8.2,82,0,fail
23,A14,0,25,75,7,8.5,85,0,fail
24,A14,0,25,75,7,7,70,0,fail
25,A14,50,25,75,7,5.7,57,190,bad
26,A14,0,25,75,7,6.2,62,0,fail
27,A14,0,25,75,7.2,7,70,0,fail
28,A14,0,25,75,7.2,8.8,88,0,fail
29,A14,0,25,75,7.2,7,70,0,fail
1,A15,0,25,75,7,5.5,55,0,fail
2,A15,0,25,75,7,6,60,0,fail
3,A15,0,25,75,7,6.2,62,0,fail
4,A15,0,25,75,7,6.5,65,0,fail
5,A15,0,25,75,7,7,70,0,fail
6,A15,0,25,75,7,7.2,72,0,fail
7,A15,0,25,75,7.2,6.8,68,0,fail
8,A15,135,25,75,7.2,9.7,97,135,over
9,A15,0,25,75,7.2,7.5,75,0,fail
10,A15,0,25,75,7.2,8,80,0,fail
11,A15,0,25,75,7.2,8.2,82,0,fail
12,A15,0,25,75,7.2,6,60,0,fail
13,A15,0,25,75,7.2,5.5,55,0,fail
14,A15,0,25,75,7.2,4.2,42,0,fail
15,A15,0,25,75,7.2,4.8,48,0,fail
16,A15,0,25,75,7.2,5.8,58,0,fail
17,A15,0,25,75,7.4,6,60,0,fail
18,A15,0,25,75,7.4,6.5,65,0,fail
19,A15,0,25,75,7.4,7,70,0,fail
20,A15,0,25,75,7.4,7.2,72,0,fail
21,A15,0,25,75,7.4,8,80,0,fail
22,A15,0,25,75,7.4,8.2,82,0,fail
23,A15,0,25,75,7.4,7,70,0,fail
24,A15,0,25,75,7.4,6.8,68,0,fail
25,A15,0,25,75,7.4,5.5,55,0,fail
26,A15,0,25,75,7.4,7.8,78,0,fail
27,A15,50,25,75,7.4,6,60,185,bad
28,A15,0,25,75,7.2,6.5,65,0,fail
29,A15,0,25,75,7.2,7,70,0,fail
1,A16,0,25,75,7.4,9,90,0,fail
2,A16,0,25,75,7.4,8.5,85,0,fail
3,A16,0,25,75,7.4,9.2,92,0,fail
4,A16,50,25,75,7.5,8.2,82,50,bad
5,A16,0,25,75,7.5,4.5,45,0,fail
6,A16,0,25,75,7.5,5,50,0,fail
7,A16,0,25,75,7.5,5.8,58,0,fail
8,A16,0,25,75,7.5,6.2,62,0,fail
9,A16,0,25,75,7.5,5.5,55,0,fail
10,A16,0,25,75,7.5,4,40,0,fail
11,A16,0,25,75,7.5,6.2,62,0,fail
12,A16,0,25,75,7.5,7,70,0,fail
13,A16,0,25,75,7.5,7.8,78,0,fail
14,A16,0,25,75,7.2,8,80,0,fail
15,A16,0,25,75,7.2,8.2,82,0,fail
16,A16,0,25,75,7.2,9,90,0,fail
17,A16,0,25,75,7.2,9.5,95,0,fail
18,A16,0,25,75,7.2,8,80,0,fail
19,A16,0,25,75,7.2,7.2,72,0,fail
20,A16,0,25,75,7.2,6.5,65,0,fail
21,A16,0,25,75,7.2,6,60,0,fail
22,A16,0,25,75,7.2,6.8,68,0,fail
23,A16,0,25,75,7.2,8,80,0,fail
24,A16,0,25,75,7.2,4.5,45,0,fail
25,A16,0,25,75,7.2,5.5,55,0,fail
26,A16,100,25,75,7.2,8.5,85,150,very good
27,A16,0,25,75,7,6.5,65,0,fail
28,A16,0,25,75,7,7,70,0,fail
29,A16,0,25,75,7,7.8,78,0,fail
1,A17,0,25,75,7,9,90,0,fail
2,A17,0,25,75,7,7,70,0,fail
3,A17,10,25,75,7,3,30,10,very bad
4,A17,20,25,75,7,8.2,82,30,very bad
5,A17,0,25,75,7,4.5,45,0,fail
6,A17,0,25,75,7,5,50,0,fail
7,A17,0,25,75,7,6.2,62,0,fail
8,A17,0,25,75,7,5.8,58,0,fail
9,A17,0,25,75,7,5.5,55,0,fail
10,A17,0,25,75,7,4,40,0,fail
11,A17,0,25,75,7,6.2,62,0,fail
12,A17,0,25,75,7,7,70,0,fail
13,A17,0,25,75,7,7.8,78,0,fail
14,A17,0,25,75,7,8,80,0,fail
15,A17,0,25,75,7,8.2,82,0,fail
16,A17,0,25,75,7,9,90,0,fail
17,A17,60,25,75,7,6.4,64,90,normal
18,A17,0,25,75,7,5,50,0,fail
19,A17,0,25,75,7.2,5.2,52,0,fail
20,A17,0,25,75,7.2,4.8,48,0,fail
21,A17,0,25,75,7.2,5,50,0,fail
22,A17,70,25,75,7.2,7.2,72,160,normal
23,A17,0,25,75,7.2,8,80,0,fail
24,A17,0,25,75,7.2,7.8,78,0,fail
25,A17,0,25,75,7.2,7,70,0,fail
26,A17,0,25,75,7.2,6.8,68,0,fail
27,A17,0,25,75,7.2,6.5,65,0,fail
28,A17,0,25,75,7.2,7,70,0,fail
29,A17,0,25,75,7.2,7.8,78,0,fail
1,A18,0,25,75,7,8.5,85,0,fail
2,A18,0,25,75,7,7,70,0,fail
3,A18,0,25,75,7,7.2,72,0,fail
4,A18,0,25,75,7,6.9,69,0,fail
5,A18,0,25,75,7,4.5,45,0,fail
6,A18,0,25,75,7,5,50,0,fail
7,A18,0,25,75,7,6.2,62,0,fail
8,A18,110,25,75,7,5.8,58,110,very good
9,A18,0,25,75,7,5.5,55,0,fail
10,A18,0,25,75,7,4,40,0,fail
11,A18,130,25,75,7,9.7,97,240,very good
12,A18,0,25,75,7,7,70,0,fail
13,A18,0,25,75,7,7.8,78,0,fail
14,A18,0,25,75,7,8,80,0,fail
15,A18,0,25,75,7.2,8.2,82,0,fail
16,A18,0,25,75,7.2,7,70,0,fail
17,A18,0,25,75,7.2,6.5,65,0,fail
18,A18,0,25,75,7.2,5,50,0,fail
19,A18,0,25,75,7.2,5.2,52,0,fail
20,A18,0,25,75,7.2,4.8,48,0,fail
21,A18,0,25,75,7.2,5.5,55,0,fail
22,A18,20,25,75,7.2,3.8,38,260,very bad
23,A18,0,25,75,7.2,4.5,45,0,fail
24,A18,0,25,75,7.2,4.7,47,0,fail
25,A18,0,25,75,7,5,50,0,fail
26,A18,0,25,75,7,5.8,58,0,fail
27,A18,0,25,75,7,6.5,65,0,fail
28,A18,0,25,75,7,7.2,72,0,fail
29,A18,0,25,75,7,6,60,0,fail
1,A19,0,25,75,7,8.5,85,0,fail
2,A19,0,25,75,7,7,70,0,fail
3,A19,0,25,75,7,7.2,72,0,fail
4,A19,70,25,75,7,6.9,69,70,normal
5,A19,0,25,75,7,4.5,45,0,fail
6,A19,0,25,75,7,5,50,0,fail
7,A19,0,25,75,7,6.2,62,0,fail
8,A19,0,25,75,7,5.8,58,0,fail
9,A19,0,25,75,7,5.5,55,0,fail
10,A19,0,25,75,7,4,40,0,fail
11,A19,0,25,75,7,6.2,62,0,fail
12,A19,0,25,75,7,6.9,69,0,fail
13,A19,0,25,75,7,7.8,78,0,fail
14,A19,140,25,75,7,10,100,210,over
15,A19,0,25,75,7.4,8.2,82,0,fail
16,A19,0,25,75,7.4,7.2,72,0,fail
17,A19,0,25,75,7.4,6.4,64,0,fail
18,A19,0,25,75,7.4,5,50,0,fail
19,A19,0,25,75,7.4,5.2,52,0,fail
20,A19,0,25,75,7.4,4.8,48,0,fail
21,A19,0,25,75,7.4,5,50,0,fail
22,A19,0,25,75,7.4,7.2,72,0,fail
23,A19,0,25,75,7.4,8,80,0,fail
24,A19,0,25,75,7.5,7.8,78,0,fail
25,A19,0,25,75,7.5,7,70,0,fail
26,A19,0,25,75,7.5,6.8,68,0,fail
27,A19,0,25,75,7.5,6.5,65,0,fail
28,A19,0,25,75,7.5,5.5,55,0,fail
29,A19,0,25,75,7.5,6,60,0,fail
1,A20,0,25,75,6.8,8.5,85,0,fail
2,A20,0,25,75,6.8,7,70,0,fail
3,A20,0,25,75,6.8,7.2,72,0,fail
4,A20,0,25,75,6.8,6.9,69,0,fail
5,A20,80,25,75,7,7.2,72,80,good
6,A20,0,25,75,7,5,50,0,fail
7,A20,0,25,75,7,4.2,42,0,fail
8,A20,0,25,75,7,5.5,55,0,fail
9,A20,0,25,75,7,6,60,0,fail
10,A20,0,25,75,7,6.8,68,0,fail
11,A20,0,25,75,7,7,70,0,fail
12,A20,0,25,75,7,7.2,72,0,fail
13,A20,0,25,75,7,7.8,78,0,fail
14,A20,0,25,75,7,8,80,0,fail
15,A20,0,25,75,7,8.2,82,0,fail
16,A20,0,25,75,7,7,70,0,fail
17,A20,0,25,75,7,6.5,65,0,fail
